	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7
OTU1	447	2991	1362	2891	7473	8381	7726
OTU2	1530	1469	1038	1481	2083	1425	1762
OTU3	734	577	845	841	1183	1558	1205
OTU4	2980	2931	2929	3179	4395	5344	5135
OTU5	604	654	695	718	726	1832	1816
OTU6	62	35	105	58	114	94	57
OTU7	91	109	66	123	205	82	50
OTU8	41	132	42	168	117	174	428
OTU9	52	183	114	119	151	239	146
OTU10	365	387	725	521	237	1210	1416
OTU11	264	158	313	424	325	552	490
OTU12	38	131	80	51	41	64	112
OTU13	0	78	73	55	149	284	327
OTU14	130	204	171	143	117	298	224
OTU15	136	197	119	152	0	165	227
OTU16	92	108	48	108	204	203	318
OTU17	72	76	30	89	27	98	99
OTU18	124	145	96	113	88	164	184
OTU19	0	54	56	72	68	181	88
OTU20	37	67	106	54	76	62	101
OTU21	135	300	332	185	337	470	417
OTU22	75	85	96	117	77	80	93
OTU23	40	52	28	65	77	110	76
OTU24	26	127	146	119	85	102	303
OTU25	52	50	150	65	0	52	139
OTU26	91	155	154	206	173	177	175
OTU27	85	127	161	217	72	127	103
OTU28	15	17	53	0	23	79	120
OTU29	38	54	88	0	41	109	138
OTU30	108	129	186	212	86	415	282
OTU31	44	136	109	70	197	110	435
OTU32	130	280	197	78	144	462	666
OTU33	0	63	86	55	208	135	94
OTU34	51	125	56	82	56	30	91
OTU35	200	249	149	150	196	259	322
OTU36	0	81	39	106	115	194	144
OTU37	0	53	121	74	13	84	186
OTU38	0	35	24	39	32	88	90
OTU39	34	100	146	170	56	104	197
OTU40	72	431	280	263	345	1002	600
OTU41	9	89	0	101	128	102	36
OTU42	14	20	47	60	54	71	112
OTU43	11	0	71	95	54	0	123
OTU44	101	178	191	136	0	219	331
OTU45	16	57	84	30	4	23	50
OTU46	65	0	21	0	31	0	17
OTU47	0	0	0	0	0	0	0
OTU48	24	27	11	15	15	70	40
OTU49	8	43	25	47	85	39	118
OTU50	1	0	0	0	0	4	43
OTU51	11	0	0	56	45	90	114
OTU52	28	27	0	56	84	11	23
OTU53	0	0	36	26	0	73	107
OTU54	0	19	8	10	0	0	0
OTU55	0	7	96	46	11	78	278
OTU56	18	109	134	174	41	263	245
OTU57	20	27	12	90	99	100	82
OTU58	0	18	0	39	0	66	119
OTU59	0	0	35	11	0	50	0
OTU60	17	13	0	31	63	20	29
OTU61	30	21	9	26	88	13	18
OTU62	33	0	0	34	27	114	94
OTU63	10	41	0	18	0	33	53
OTU64	11	29	7	15	16	43	22
OTU65	0	40	5	0	0	17	151
OTU66	0	23	18	17	13	50	85
OTU67	0	6	0	0	0	22	52
OTU68	19	0	0	0	0	17	29
OTU69	0	0	0	20	64	29	93
OTU70	0	0	10	76	53	60	33
OTU71	0	20	0	0	0	13	54
OTU72	0	0	28	48	69	27	29
OTU73	0	0	0	0	0	0	0
OTU74	4	7	0	22	25	27	10
OTU75	0	0	0	0	39	46	0
OTU76	0	0	26	6	0	0	0
OTU77	0	0	0	0	16	10	11
OTU78	0	21	0	0	0	44	49
OTU79	13	21	0	18	12	30	27
OTU80	0	0	0	0	83	0	0
OTU81	0	0	0	0	9	0	81
OTU82	0	43	16	48	12	87	77
OTU83	0	15	0	0	0	13	47
OTU84	0	0	0	0	0	0	27
OTU85	6	0	0	0	0	0	3
OTU86	0	0	19	23	29	51	70
OTU87	0	23	7	0	38	19	14
OTU88	0	0	0	0	0	0	0
OTU89	0	0	0	13	0	30	33
OTU90	0	0	0	0	0	0	13
OTU91	24	0	0	0	0	0	0
OTU92	0	0	15	0	0	0	0
OTU93	0	0	0	35	0	0	0
OTU94	0	0	0	0	0	20	0
OTU95	0	25	0	3	0	15	0
OTU96	0	0	0	0	0	0	0
OTU97	17	0	0	0	17	0	12
OTU98	0	0	0	0	0	0	0
OTU99	0	9	19	11	0	0	0
OTU100	0	19	2	7	0	25	5
OTU101	5	0	0	0	0	0	6
OTU102	0	0	0	0	0	0	16
OTU103	0	0	0	0	0	12	12
OTU104	0	0	15	8	11	9	8
OTU105	0	0	0	0	0	0	0
OTU106	0	0	0	0	0	0	0
OTU107	0	0	0	0	4	0	0
OTU108	0	0	0	0	0	0	0
OTU109	0	5	0	0	0	0	0
OTU110	0	0	0	5	0	9	0
OTU111	0	0	0	0	0	0	0
OTU112	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	7	0
OTU114	0	0	0	0	0	0	0
OTU115	0	0	0	0	0	0	6
OTU116	0	0	0	0	0	0	0
OTU117	0	0	0	0	0	0	5
OTU118	0	0	0	0	0	0	4
OTU119	0	0	0	0	0	0	0
OTU120	0	0	0	0	0	0	0
